ticker,exchange,assetType,priceCurrency,startDate,endDate
000938,SHE,Stock,CNY,2007-01-04,2017-03-06
000939,SHE,Stock,CNY,2007-01-04,2017-03-17
000948,SHE,Stock,CNY,2007-01-04,2017-03-17
000949,SHE,Stock,CNY,2007-01-04,2017-03-17
000950,SHE,Stock,CNY,2007-01-04,2017-03-17
000951,SHE,Stock,CNY,2007-01-04,2017-03-17
000952,SHE,Stock,CNY,2007-01-04,2017-03-17
000953,SHE,Stock,CNY,2007-01-04,2017-03-13
000955,SHE,Stock,CNY,2007-01-04,2017-03-17
000957,SHE,Stock,CNY,2007-01-04,2017-03-17
000958,SHE,Stock,CNY,2007-01-04,2017-03-17
000959,SHE,Stock,CNY,2007-01-04,2017-03-17
000960,SHE,Stock,CNY,2007-01-04,2017-03-17
000961,SHE,Stock,CNY,2007-01-04,2017-03-17
000962,SHE,Stock,CNY,2007-01-04,2017-03-17
000963,SHE,Stock,CNY,2007-01-04,2017-03-17
000965,SHE,Stock,CNY,2007-01-05,2017-03-17
000966,SHE,Stock,CNY,2007-01-04,2017-03-17
000967,SHE,Stock,CNY,2007-01-04,2017-03-17
000968,SHE,Stock,CNY,2007-01-04,2017-03-17
000969,SHE,Stock,CNY,2007-01-04,2017-03-17
000970,SHE,Stock,CNY,2007-01-04,2017-03-17
000971,SHE,Stock,CNY,2007-01-04,2017-03-17
000972,SHE,Stock,CNY,2007-01-04,2017-03-17
000973,SHE,Stock,CNY,2007-01-04,2017-03-17
000975,SHE,Stock,CNY,2007-01-04,2017-03-17
000976,SHE,Stock,CNY,2007-01-04,2017-03-17
000977,SHE,Stock,CNY,2007-01-04,2017-03-17
000978,SHE,Stock,CNY,2007-01-04,2017-03-17
000979,SHE,Stock,CNY,2007-01-04,2017-02-09
000980,SHE,Stock,CNY,2007-01-04,2017-03-17
000981,SHE,Stock,CNY,2007-01-04,2017-02-06
000982,SHE,Stock,CNY,2007-01-10,2016-11-21
000983,SHE,Stock,CNY,2007-01-04,2017-03-17
000985,SHE,Stock,CNY,2007-01-04,2017-03-17
000987,SHE,Stock,CNY,2007-01-04,2017-03-17
000988,SHE,Stock,CNY,2007-01-04,2017-03-17
000989,SHE,Stock,CNY,2007-01-04,2017-03-17
000990,SHE,Stock,CNY,2007-01-04,2017-03-17
000993,SHE,Stock,CNY,2007-01-04,2017-03-17
000995,SHE,Stock,CNY,2007-01-04,2017-03-17
000996,SHE,Stock,CNY,2007-01-04,2017-03-17
000997,SHE,Stock,CNY,2007-01-04,2017-03-17
000998,SHE,Stock,CNY,2007-01-04,2017-03-17
000999,SHE,Stock,CNY,2007-01-04,2017-03-17
001696,SHE,Stock,CNY,2007-01-04,2017-03-17
001896,SHE,Stock,CNY,2007-01-04,2017-03-17
001979,SHE,Stock,CNY,2015-12-30,2017-03-17
